Capability Name,Process,Process Description,Sub Process,Sub-Process Description,Data Entity,Data Entity Description,Data Element,Data Element Description
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Investment Idea Documentation,"Formal capture of thesis, evidence, valuation, risk, compliance checks, and implementation parameters to enable governance, auditability, and portfolio action.",Idea Memo,Structured proposal record.,Idea ID,Unique identifier.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Investment Idea Documentation,"Formal capture of thesis, evidence, valuation, risk, compliance checks, and implementation parameters to enable governance, auditability, and portfolio action.",Idea Memo,Structured proposal record.,Thesis Statement,Core investment rationale and catalysts.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Investment Idea Documentation,"Formal capture of thesis, evidence, valuation, risk, compliance checks, and implementation parameters to enable governance, auditability, and portfolio action.",Idea Memo,Structured proposal record.,Key Evidence,"Data points, research citations, channel checks."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Investment Idea Documentation,"Formal capture of thesis, evidence, valuation, risk, compliance checks, and implementation parameters to enable governance, auditability, and portfolio action.",Implementation Plan,Execution blueprint.,Entry/Exit Criteria,"Price levels, triggers, stop-loss/take-profit."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Investment Idea Documentation,"Formal capture of thesis, evidence, valuation, risk, compliance checks, and implementation parameters to enable governance, auditability, and portfolio action.",Implementation Plan,Execution blueprint.,Instrument Selection,"Cash equity, ETF, derivative, credit instrument."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Investment Idea Documentation,"Formal capture of thesis, evidence, valuation, risk, compliance checks, and implementation parameters to enable governance, auditability, and portfolio action.",Compliance Checklist,Pre-trade constraint validation.,Constraint Flags,Regulatory/product/issuer limits triggered.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Investment Idea Documentation,"Formal capture of thesis, evidence, valuation, risk, compliance checks, and implementation parameters to enable governance, auditability, and portfolio action.",Compliance Checklist,Pre-trade constraint validation.,Approval Required,"Committees/roles (PM, Risk, Compliance)."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Conviction & Priority Scoring,"Scoring of ideas across evidence strength, valuation upside, risk, liquidity, and thematic fit to rank ideas and guide allocation priority and timing.",Conviction Model,Scoring framework and weights.,Score Components,"Evidence, Upside, Risk, Liquidity, Theme Fit."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Conviction & Priority Scoring,"Scoring of ideas across evidence strength, valuation upside, risk, liquidity, and thematic fit to rank ideas and guide allocation priority and timing.",Conviction Model,Scoring framework and weights.,Weighting Scheme,% weights assigned to components.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Conviction & Priority Scoring,"Scoring of ideas across evidence strength, valuation upside, risk, liquidity, and thematic fit to rank ideas and guide allocation priority and timing.",Composite Score,Final combined score.,Conviction Score,"Numeric (e.g., 0–100)."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Conviction & Priority Scoring,"Scoring of ideas across evidence strength, valuation upside, risk, liquidity, and thematic fit to rank ideas and guide allocation priority and timing.",Composite Score,Final combined score.,Priority Tier,High/Medium/Low implementation priority.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Conviction & Priority Scoring,"Scoring of ideas across evidence strength, valuation upside, risk, liquidity, and thematic fit to rank ideas and guide allocation priority and timing.",Position Guidance,Recommended sizing and timing.,Suggested Weight,% of portfolio per idea.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Conviction & Priority Scoring,"Scoring of ideas across evidence strength, valuation upside, risk, liquidity, and thematic fit to rank ideas and guide allocation priority and timing.",Position Guidance,Recommended sizing and timing.,Timing Window,Near-term vs. staged entry.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Research Review & Approval,"Governance ensuring research integrity, methodological soundness, mandate alignment, and compliance before portfolio implementation; includes peer review, committee endorsement, and version control.",Review Workflow,Defined steps and roles.,Review Stage,"Peer, Risk, Compliance, Investment Committee."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Research Review & Approval,"Governance ensuring research integrity, methodological soundness, mandate alignment, and compliance before portfolio implementation; includes peer review, committee endorsement, and version control.",Review Workflow,Defined steps and roles.,Reviewer Role,"Analyst, PM, Risk Officer, Compliance Officer."
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Research Review & Approval,"Governance ensuring research integrity, methodological soundness, mandate alignment, and compliance before portfolio implementation; includes peer review, committee endorsement, and version control.",Decision Record,Outcome and rationale.,Decision Outcome,Approved / Approved with Conditions / Rejected.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Research Review & Approval,"Governance ensuring research integrity, methodological soundness, mandate alignment, and compliance before portfolio implementation; includes peer review, committee endorsement, and version control.",Decision Record,Outcome and rationale.,Conditions/Actions,Required modifications or controls.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Research Review & Approval,"Governance ensuring research integrity, methodological soundness, mandate alignment, and compliance before portfolio implementation; includes peer review, committee endorsement, and version control.",Version Control,Documentation integrity and audit trail.,Version Number,Incremental version tag.
Fund Performance,Research and Idea Generation,"The structured, governance-backed workflow that transforms macroeconomic insights and sector research into investable ideas, validated through fundamental analysis, valuation modeling, forecasting, risk assessment, and formal approval. It ensures traceability from thesis to execution and alignment with mandate, benchmark, and risk controls.",Research Review & Approval,"Governance ensuring research integrity, methodological soundness, mandate alignment, and compliance before portfolio implementation; includes peer review, committee endorsement, and version control.",Version Control,Documentation integrity and audit trail.,Effective Date,Date when approval is operative.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Strategic Asset Allocation Definition,Establishes long-horizon neutral weights across asset classes to achieve the mandate’s risk/return objectives under steady-state assumptions. Forms the benchmark for performance evaluation and risk budgeting.,SAA Policy,Board/IC-approved strategic weights and bands.,Asset Class,"Equity, Fixed Income, Real Assets, Cash, Alternatives, etc."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Strategic Asset Allocation Definition,Establishes long-horizon neutral weights across asset classes to achieve the mandate’s risk/return objectives under steady-state assumptions. Forms the benchmark for performance evaluation and risk budgeting.,SAA Policy,Board/IC-approved strategic weights and bands.,SAA Weight (%),Long-term neutral allocation per asset class.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Strategic Asset Allocation Definition,Establishes long-horizon neutral weights across asset classes to achieve the mandate’s risk/return objectives under steady-state assumptions. Forms the benchmark for performance evaluation and risk budgeting.,SAA Policy,Board/IC-approved strategic weights and bands.,Rebalance Band,"Allowed deviation around SAA (e.g., ±2%)."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Strategic Asset Allocation Definition,Establishes long-horizon neutral weights across asset classes to achieve the mandate’s risk/return objectives under steady-state assumptions. Forms the benchmark for performance evaluation and risk budgeting.,Capital Market Assumptions (CMA),"Long-run expected returns, volatilities, and correlations.",Expected Return (µ),Annualized long-run mean return per asset class.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Strategic Asset Allocation Definition,Establishes long-horizon neutral weights across asset classes to achieve the mandate’s risk/return objectives under steady-state assumptions. Forms the benchmark for performance evaluation and risk budgeting.,Capital Market Assumptions (CMA),"Long-run expected returns, volatilities, and correlations.",Volatility (s),Long-run standard deviation per asset class.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Strategic Asset Allocation Definition,Establishes long-horizon neutral weights across asset classes to achieve the mandate’s risk/return objectives under steady-state assumptions. Forms the benchmark for performance evaluation and risk budgeting.,Capital Market Assumptions (CMA),"Long-run expected returns, volatilities, and correlations.",Correlation Matrix,Pairwise correlations supporting SAA.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Tactical Asset Allocation Decision,"Time-varying tilts around SAA to capture near- to medium-term opportunities and risks based on macro, valuation, and sentiment indicators, subject to tracking error and liquidity budgets.",TAA Signal Set,"Quantified tilts by asset class, factor, and region.",Tilt Direction/Magnitude,Over/underweight vs. SAA and size of tilt.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Tactical Asset Allocation Decision,"Time-varying tilts around SAA to capture near- to medium-term opportunities and risks based on macro, valuation, and sentiment indicators, subject to tracking error and liquidity budgets.",TAA Signal Set,"Quantified tilts by asset class, factor, and region.",Signal Rationale,"Concise justification (valuation, macro, flows)."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Tactical Asset Allocation Decision,"Time-varying tilts around SAA to capture near- to medium-term opportunities and risks based on macro, valuation, and sentiment indicators, subject to tracking error and liquidity budgets.",TAA Budget,Risk capacity allocated to active tilts.,Tracking Error Budget,Ex-ante active risk allocated to TAA (bps).
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Tactical Asset Allocation Decision,"Time-varying tilts around SAA to capture near- to medium-term opportunities and risks based on macro, valuation, and sentiment indicators, subject to tracking error and liquidity budgets.",TAA Budget,Risk capacity allocated to active tilts.,Liquidity Budget,Portion of portfolio available for TAA implementation.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Security Selection for Portfolio,"Chooses specific instruments to express allocation and themes, optimizing for alpha, costs, liquidity, and implementation feasibility while ensuring mandate and compliance adherence.",Security Universe (Filtered),Eligible list post screening and risk checks.,Security Identifier,"ISIN, Ticker, CUSIP/SEDOL."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Security Selection for Portfolio,"Chooses specific instruments to express allocation and themes, optimizing for alpha, costs, liquidity, and implementation feasibility while ensuring mandate and compliance adherence.",Security Universe (Filtered),Eligible list post screening and risk checks.,Eligibility Status,Eligible / Watchlist / Excluded (with reason).
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Security Selection for Portfolio,"Chooses specific instruments to express allocation and themes, optimizing for alpha, costs, liquidity, and implementation feasibility while ensuring mandate and compliance adherence.",Selection Rationale,Evidence linking security to alpha thesis and risks.,Alpha Drivers,"Fundamental/quant, catalyst, theme linkage."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Security Selection for Portfolio,"Chooses specific instruments to express allocation and themes, optimizing for alpha, costs, liquidity, and implementation feasibility while ensuring mandate and compliance adherence.",Selection Rationale,Evidence linking security to alpha thesis and risks.,Implementation Vehicle,"Cash security, ETF, future, swap, option, bond."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Position Sizing Determination,"Sets position weights using risk-based sizing, liquidity, and conviction—balancing alpha expectations with diversification and downside controls.",Sizing Framework,Rules for converting scores and risks into weights.,Conviction Score,Normalized (0–100) or tiered (H/M/L).
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Position Sizing Determination,"Sets position weights using risk-based sizing, liquidity, and conviction—balancing alpha expectations with diversification and downside controls.",Sizing Framework,Rules for converting scores and risks into weights.,Volatility/ß Adjuster,"Scaling factor based on risk (s, ß)."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Position Sizing Determination,"Sets position weights using risk-based sizing, liquidity, and conviction—balancing alpha expectations with diversification and downside controls.",Position Limits,Hard and soft bounds by name/sector/issuer.,Single Name Max (%),Upper bound per security.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Position Sizing Determination,"Sets position weights using risk-based sizing, liquidity, and conviction—balancing alpha expectations with diversification and downside controls.",Position Limits,Hard and soft bounds by name/sector/issuer.,Sector/Theme Max (%),Upper bound per sector/theme.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Portfolio Optimization Execution,"Solves for optimal weights that maximize objective (e.g., expected return, utility) subject to constraints, transaction costs, and risk targets using an optimizer (e.g., mean-variance, factor, robust, Black–Litterman).",Optimization Problem,Formal specification of objective and constraints.,Objective Function,"Maximize µ, Sharpe, utility; minimize risk/TE."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Portfolio Optimization Execution,"Solves for optimal weights that maximize objective (e.g., expected return, utility) subject to constraints, transaction costs, and risk targets using an optimizer (e.g., mean-variance, factor, robust, Black–Litterman).",Optimization Problem,Formal specification of objective and constraints.,Constraint Set,"Exposure, turnover, limits, floor/ceilings."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Portfolio Optimization Execution,"Solves for optimal weights that maximize objective (e.g., expected return, utility) subject to constraints, transaction costs, and risk targets using an optimizer (e.g., mean-variance, factor, robust, Black–Litterman).",Model Inputs,Data passed to solver at run time.,Expected Returns Vector,Asset-level µ used by optimizer.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Portfolio Optimization Execution,"Solves for optimal weights that maximize objective (e.g., expected return, utility) subject to constraints, transaction costs, and risk targets using an optimizer (e.g., mean-variance, factor, robust, Black–Litterman).",Model Inputs,Data passed to solver at run time.,Risk Model (S),Covariance/factor risk structure.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Portfolio Optimization Execution,"Solves for optimal weights that maximize objective (e.g., expected return, utility) subject to constraints, transaction costs, and risk targets using an optimizer (e.g., mean-variance, factor, robust, Black–Litterman).",Execution Output,Optimized solution and diagnostics.,Optimal Weights,Final target weights by asset/security.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Portfolio Optimization Execution,"Solves for optimal weights that maximize objective (e.g., expected return, utility) subject to constraints, transaction costs, and risk targets using an optimizer (e.g., mean-variance, factor, robust, Black–Litterman).",Execution Output,Optimized solution and diagnostics.,Shadow Prices/Duals,Constraint tightness indicators.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Scenario & Stress Testing,"Evaluates portfolio resilience under historical, hypothetical, and forward-looking shocks across rates, spreads, FX, equity factors, and commodities; quantifies P&L impact and drawdowns.",Scenario Library,Catalog of stress and what-if scenarios.,Scenario Type,Historical / Hypothetical / Regulatory.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Scenario & Stress Testing,"Evaluates portfolio resilience under historical, hypothetical, and forward-looking shocks across rates, spreads, FX, equity factors, and commodities; quantifies P&L impact and drawdowns.",Scenario Library,Catalog of stress and what-if scenarios.,Shock Specification,Factor/asset shocks and correlations.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Scenario & Stress Testing,"Evaluates portfolio resilience under historical, hypothetical, and forward-looking shocks across rates, spreads, FX, equity factors, and commodities; quantifies P&L impact and drawdowns.",Stress Results,Impact metrics by scenario.,P&L Impact,Expected portfolio loss/gain under scenario.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Scenario & Stress Testing,"Evaluates portfolio resilience under historical, hypothetical, and forward-looking shocks across rates, spreads, FX, equity factors, and commodities; quantifies P&L impact and drawdowns.",Stress Results,Impact metrics by scenario.,Peak Drawdown,Maximum peak-to-trough in scenario.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Concentration Risk Validation,"Tests portfolio for undue concentration by issuer, sector, country, factor, and counterparty; validates diversification and adherence to limits.",Concentration Metrics,Quantitative measures of concentration.,Herfindahl–Hirschman Index (HHI),Weight concentration indicator.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Concentration Risk Validation,"Tests portfolio for undue concentration by issuer, sector, country, factor, and counterparty; validates diversification and adherence to limits.",Concentration Metrics,Quantitative measures of concentration.,Top-N Weights,Cumulative weight of top 5/10 positions.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Concentration Risk Validation,"Tests portfolio for undue concentration by issuer, sector, country, factor, and counterparty; validates diversification and adherence to limits.",Limit Checks,Compliance with binding thresholds.,Breach Flag,Indicator of limit breach.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Concentration Risk Validation,"Tests portfolio for undue concentration by issuer, sector, country, factor, and counterparty; validates diversification and adherence to limits.",Limit Checks,Compliance with binding thresholds.,Remediation Action,Rebalance/hedge/diversify note.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Liquidity Impact Assessment,Estimates trading costs and market impact under varying conditions; verifies the portfolio’s ability to meet redemptions and rebalance within liquidity tolerances.,Liquidity Profile,Security- and portfolio-level liquidity attributes.,ADV Coverage,Position size as % of 20D ADV.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Liquidity Impact Assessment,Estimates trading costs and market impact under varying conditions; verifies the portfolio’s ability to meet redemptions and rebalance within liquidity tolerances.,Liquidity Profile,Security- and portfolio-level liquidity attributes.,Days to Liquidate,Days to exit specified % at assumed participation.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Liquidity Impact Assessment,Estimates trading costs and market impact under varying conditions; verifies the portfolio’s ability to meet redemptions and rebalance within liquidity tolerances.,Cost Model,Transaction cost and slippage estimates.,Expected Cost (bps),Impact + spread + fees per trade.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Liquidity Impact Assessment,Estimates trading costs and market impact under varying conditions; verifies the portfolio’s ability to meet redemptions and rebalance within liquidity tolerances.,Cost Model,Transaction cost and slippage estimates.,Participation Rate,% of market volume assumed for trading.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Model Portfolio Creation,"Produces a governance-grade, implementable model with target weights, rebalancing rules, and cash buffers for dissemination to execution and downstream systems.",Model Portfolio Package,Version-controlled target portfolio.,Model ID / Version,Unique identifier and version.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Model Portfolio Creation,"Produces a governance-grade, implementable model with target weights, rebalancing rules, and cash buffers for dissemination to execution and downstream systems.",Model Portfolio Package,Version-controlled target portfolio.,Rebalance Frequency,Monthly/Quarterly/Ad-hoc trigger-based.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Model Portfolio Creation,"Produces a governance-grade, implementable model with target weights, rebalancing rules, and cash buffers for dissemination to execution and downstream systems.",Dissemination Controls,Distribution and entitlements.,Effective Date/Time,Timestamp when model becomes active.
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Model Portfolio Creation,"Produces a governance-grade, implementable model with target weights, rebalancing rules, and cash buffers for dissemination to execution and downstream systems.",Dissemination Controls,Distribution and entitlements.,Recipient List,"Authorized desks/systems (PM, OMS, EMS)."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Portfolio Approval & Sign-off,"Formal governance ensuring alignment with mandate, risk, compliance, and operational readiness; records approvals, conditions, and effective date prior to trade execution.",Approval Workflow,Roles and steps for sign-off.,Approving Authority,"PM, Risk, Compliance, Investment Committee."
Fund Performance,Portfolio Construction and Modeling,"Translates investment objectives, risk appetite, and market views into a coherent portfolio structure. Integrates strategic and tactical asset allocation, security selection, factor tilts, and risk controls into a model portfolio ready for simulation and execution.",Portfolio Approval & Sign-off,"Formal governance ensuring alignment with mandate, risk, compliance, and operational readiness; records approvals, conditions, and effective date prior to trade execution.",Approval Workflow,Roles and steps for sign-off.,Approval Date/Time,Timestamp of final approval.
